text,sentiment
great continuity dey throughout di film di writer wit di director dey high intelligent and creative tank you so much for dis amaze film,Positive
i enjoy to dey see di part of lagos wey gud both on di mainland and di island use no dey like di other films wey go stay for one location lagos na beautiful place to shoot film especial if dem put to use di diversity of di state as we see am here accident scene dey always dey tricky give nollywood to portray  but na pleasant surprise to see one wey dey believe here,Positive
citation di film  perfect film i like every second of di film i wish say make e no end,Positive
akinnuoyeagbaje director debut na trouble come of age tori base upon di director own experience as farm out naija pikin for uk during period of surge xenophobia for di wake of di windrush generation dem arrival di look and feel of di film early moment present settling wit character dem so raw and realistic dat wey pesin fit only capture if dem experience dem di pace of di film for many way reflect dis at time seem to take on almost frantic pace wey dey meaningful for way wey capture di effect of somebody wey dey recall dem life story make up of di important detail wit traumatic moment through occasional make am difficult to capture and appreciate di passage of di time border on surreal di supporting character dem similar dey raw and dem be identify foil though lack in depth require to be whole character pass dia interact wit di film lead  furthermore di film just do small to address or context im setting delibrate choose to focus on di internal struggle of im central character despite say di film center character dey compel enough to keep viewer dem engage solely for im development throughout di film overall farming na impress director debut wey tackle issue of dual identity wit self hatred for manner wey leave plenty without say but im provide  bitter wit frequent heartbreak account of one individual struggle for meaning wit identity so much dey to admire for dis film wey present often overlook period for british history  di important of dat kain personal topic wey deserve more runtime pass mere 107 minute,Positive
amazing film na must see,Positive
beta series   i really like dis show all di character dem dey great i enjoy di watch i hope say im go stay around for more season i dey look forward to di next season,Positive
work from a script by playwright darci picoult dosunmu fashon take wey dey realistic e dey  melodramatic and e dey  culture specific  we spend many time ogling colourful pattern dress dem as we dey admire gurira endless expressive face yet no mistake archetypal,Positive
beta film,Positive
no word fit describe di power of dis film and im remind how fortunate im be to neva dey for di type of civil war extraordinary toritellin of tragic naija history wey happen recent wit di humanity within am all,Positive
beautiful,Positive
rational represent of di igbo    lion heart represent wetin im really mean to be igbo hard  work wit comunal system of live,Positive
many mediocre actin dey here and there and something make little to no sense for me but overall i enjoy am for wetin im be i no go watch am again but as i see am once dey nice,Positive
while di theme here dey nice redolent of neorealism di filmmaker no make ostentatious nod give cinema past dem voice na their own di camera dey mobile when im need to be but e stand still much of di time letting di excellent cast build their character dem as di event of di film test how dem fit endure,Positive
funny funny funny    oh mehn dis film dey super funny if you dey find film wey lift your mood up then dis na di right film for you,Positive
superb film  dis wan go be di best film wey don come out of naija make we no mention as im dey very funny,Positive
 beautiful african women,Positive
i no no di kain basis wey people use give dis film dis kain low rate but believe me after long time i don watch dis kain beta fine clean wey beta pass bollywood film,Positive
di picture quality of dis film dey great and di director do beta job,Positive
performance wey dey outstanding    temi otedola performance dey stunnin i enjoy di later wey di tori get enta bodi wit di way wey dem reveal each key piece of information,Positive
na major step to take back our narrative     dis film don really show deep side of di struggle of di people wey we dey ignore e dey easy to see pesin to judge but wen dem talk tori like dis you go start to dey look everybody wit diffrend lens di end though e dey abrupt keep you for limbo and e go hold you for pawafu suspense ponder on wetin you just witness,Positive
spot on  definite afrika film of di year i enjoy every minute of di 2hour 30minute ,Positive
na rare tori about di value of family from very distinct perspective na eloquent interpret wit perfect castin,Positive
final great naija film for year i don dey hope say naija go produce one film wey dey great and dat na where esiri brother enta,Positive
make i no lie dis film na real beta production wise and di sequel chills from top notch actin,Positive
e hard to see period of 5 minute for dis film wit nothing to laff chuck or laff for i no think say naija film wey beat dis film for im genre  fiction comedy dis effect of dis film sef dey commend,Positive
beta nollywood romance comedy  dis film dey exact cheesy reach to make you laff after bad day,Positive
na nice cross country film    di only tin wey i no like about dis film na say  interact no dey wit di naija or india environment    beauty romance film,Positive
di tori start slow but e stick with am very gud tori,Positive
king of boys     dis series dey absolute fantastic from di toriline enta di cast costume wit di emotion portray by di protagonist i dey proud to be naija for dis time well done kemi adetiba well done sola sobowale,Positive
na must see for everbodi    namaste wahala na masterpiece and na official cross between culture dis nollywood bollywood collabo get everything wey gud romance film suppose get di indian actor dey all great and dem play their role perfect,Positive
e dey realize e dey entertain and all round beta vibe i fit watch am all day i wish say dem go air for more than one week sha dat one for one side e just gud most reality show come off as script but no be dis one,Positive
for nollywood scale i go give dis film 9 because of im unique toriline wit excellent production wey set am aside from oda naija film dem,Positive
beta toriline     na beta film and toriline i like am,Positive
speechless    dis film give me goose bump i connect for way wey litrary tear my soul  indeed depict god di way wit di manner wey im suppose be god go bless di writer producer dem wit all involve di actor dem sef dey top top everybodi do fantastic job,Positive
i enjoy di kain relationship craft between mr tayo bimbo manuel and ejiro  rmd,Positive
one tin i like about di film na di way di actor dem interpret am di writer director wit di cinematographer dem deserve praise for dis effort,Positive
na best christian film     i like dis film im dey so well done  di actin dey awesome and di toriline dey refresh gbosa give di entire cast wit crew definite must watch    ps you go need tissue,Positive
i like am  i like di film di actor di director etc everybody absolute make am beta wit dia actin skill    anyone wey find am bad no sabi beta film and im no fit relate wit our culture,Positive
e dey awesome    di film dey awesome wit beautiful character dem i like to dey see bisola for film she gud,Positive
beautiful actin di directing dey beautiful di tori no too great  i go open account so i go fit review am dis na beautiful work of art ,Positive
e dey sweet    i really enjoy dis film di actin wit di toriline dey real gud i find am to dey very interest to wonder about ishi life dis wan for sure dey open eye give many who dem force enter marriage,Positive
gabriel afolayan dey class of im own as actor  im dey always understand di task,Positive
e no bad reach di review,Positive
na beta film wit great action     beta tori original beta action wit beta comedi wey dey inside just one di film thrill wit beta cast,Positive
na well act film fine wrought epic wey nevertheless struggle to balance di require of melodrama wit im drive to capture history moment,Positive
e dey awesome    di first time wey i look dis film i blow comot i no want make e sound craze but i try study tins for dis world i dey hope to see di second install wit di same character dem wit plot wey dey very dark,Positive
surprising  normal i go flick pass dis but make i no lie na tori wey dey amaze you fit tok say na low budget but di direction wit di screenplay dey fantastic di choreography of di fight scene lack smallbut e definate worth watch,Positive
na engross tale of family and war    i recommend dis film without reserve,Positive
wow    dis film make me change my relationship for best beta film di film start slow but e definate keep me interest di flashback make di end more intense because everything come togeda,Positive
pipo no go learn if dem no even try     dis film tackle many issue include di big one to know wahala for black men,Positive
through economy wey get exposition eyimofe  wey dem translate to  dis na my desire deliver timeless universe portrait of di resilient wey human get as e establish arie wit chuko as welcome new addition to take join filmmaking,Positive
nah great movie from person wey we know say im be great tori teller gold statue fit no be one of tade ogidan best works dem but dey rank am high up dia,Positive
na nice film di story line dey good e worth to be dey watch i go recommed make person watch am sef,Positive
e dey fun to watch di delivery boy dey very refreshing beautiful tori dey tell am well you suppose see am,Positive
dis show suppose get 5 seasons dem   dis show dey very interesting and entertaining if di real caliphate get problem with am change of make you abrivate di name abeg better cast better writing better visuals,Positive
great movie  i no fit understand for di life of me di kin low review of dat kin remarkable film dis series good so tey dat i binged di entire series as medical student wey i be great work and thumbs up to di producer and casts dem ,Positive
di production dey great nah delight years ahead most of di subpar movies for african cinema dis movie nah great step wey dey di right direction for african cinema,Positive
entertaining live concert wey dey feature lively arrangement of jazz and pop standards dem togeda with excellent orchestra ,Positive
di  return og di king dey glorious,Positive
better job,Positive
dem craft am well highly personal tori wey dem tell well togeda with superb acting,Positive
e still be one of di best nigerian films of 2017 isoken nah great film wey showcase di culture of di area of di country di layout filming colours dem and dressing talk plenty about di tradition quite well di film get quite a good inject of laughter and great acting ,Positive
great watch great movie i enjoy di fact say dem promote di igbo language,Positive
camera chases dem wey dem dey carry for hand emotionally fraught closeup composition wey dey arresting and script wey give tori wey dey familiar a distinct african flavour  make oloture a thrillier wey you no fit only endure but you go mavel over am and embrace am ,Positive
you need to watch dis nah a must watch i dey in love with di character di plot nah everything,Positive
movie wey dey burst brain,Positive
i love you  i get pikin,Positive
great piece of work wey kemi adetiba do di tori dey well scripted better cinematography all di actors dem give a great performance dis nah world class movie  kudos to all di crews dem ,Positive
film wey dey powerful of a totally forgotten episode for history no be for di f aint of heart,Positive
great film  e entertain and educate,Positive
serious drama wey get subtle comedy nah my type bi dat,Positive
wow dis nah true tori wow amazing  wow dis tori di many many many tori of di black experience throughout di african wey dey abroad and throughout generations i dey happy say our broda share im tori and e grt to writ direct star in and damson wow e acting dey always dey amazing ,Positive
impressive  e dey funny how dey show di two cultures dem i dey entertain  all through confirm production,Positive
excellent delivery  di movie nah wonderful delievery of sextual assaults university female student by some of dem lecture im be e pass di message a simple and manner wey dem no suspect end wey no dey predictable but a few forgivable misses ,Positive
amazing  love how dem display di pure cultures even in side di music e dey great to see people wey make me dey watch nollywood again nah thrilling al round an e dey very funny,Positive
confirm series from nigeria i love dis series great scenery acting wey dey fantastic everybody dey give dia a game di joke dey natural and very relatable e dey educative as well,Positive
e hit di correct note  di language dey sweet di cast stellar cinematography and editing dey on point e also get great plot di one wey best dem all be say e put ajegunle on di map,Positive
new pandemic wey fit happen again  nah brilliant movie and e dey very realistic about wetin really happen he better pass di movie contangion for my book e really hit close to home for me nah one of di first serious pandenmic for my life time i for too like to purchase dis movie on dvd but i don dey look for am for di usa but i no see am person fit tell me how  thanks,Positive
how movie with dis kin subject matter wind up as e take slow and boring where di urgency dey where di suspense  and tension dey di editing and pacing dey drive person nut  and there be no way dis thing need reach almost two hour and half hours long and dat nah shame bcos e highlights a big and important problem i hope say e do am wothout make people wey come watch dey sleep ,Positive
lionheart nah beautiful movie e be dis movie nah best nollywood movie i don see so far every scene dey precise e dey beautiful with a touch of humor and a moral lesson i like say dem represent nigeria well ,Positive
season 2 i love season 1 and e hard me to wait for season 2 i like all di charaters dem i hope say you go dey bring on di new series,Positive
nah 2 hours movie wey i no suppose call entertainment but moment of empowerment if to say i dey get doubt before my conviction don get better  i fit connect with di movie bcos i don experience a touch of god before  i say yes to god call,Positive
e almost accurately potray di kin abuse wey female student dey face for nigerian university dem and for west africa at large,Positive
e dey colourful and e get detail but thrilling no be di word  in general fifty dey starndard beautiful and lively e suppose dey thrilling at di end but di goose for my pimples no too show but i dey happy as i dey remember small line and scene for di end   ,Positive
dis nah kunle afo movie wey dey impactful so far di movie address a topic wey dey important for nigeria education system better tori line interesting plot fantastic acting di movie nah di best you ever watch on top topic wey dey borda people on to gender base violence for africans higher institutions enjoy am and no dey bias with your reveiw nah good one e be,Positive
nah brilliant movie  i juet dey watch lara and di beat for netflix dis film dey wonderful beautiful cinematography acting wey dey on point great tori nice music and wholesome entertainment wey di whole family fit enjoy,Positive
refreshing  i love everything about am di culture language and music dey beautiful,Positive
di movie give us di feel of di eighties even to how dem organize parties di talk about bleaching di clothes and di wey dem use plenty damask and adire,Positive
dem pace di movie well properly flash out character full am dey operate for a plot structure wey no dy fall apart dem bring di movie to life with ogbonge aesthematic and masterful cinematography di even though no dey phenomenal dey good enough to keep stay for your sit while e dey impart a thing or two about di subject matter ,Positive
abeg season 2  i don watch fifty series and con jam castle  castel bcos say tola facee dey familiar i love dis series and i go love make  season 2 come out i hate as e leave me hanging on di last episode as if say season two do come so abeg give us a season 2,Positive
terrific film  dis dey intense drama wey dey heartbreaking with excellent script and stellar acting performances,Positive
light and funny  nah total comedy gold with great plotline fron dem sisters to di villains you must watch am make we no mention di unexpected fantasy elements and great speacial effects dem dey highly recommended ,Positive
nah risk dem take but dem do di execution and di production to acting well ,Positive
farming fit no be di best tori wey dem don do  but di king captivating performance wey damson idris give nevertheless nah still tori wey person fit dey talk,Positive
superbly refershing   everything about dis movie just dey on point di tori line characters dem and directingdown to costume i too enjoy am my popcorn no too last before e finish love love love abeg make unah make more movies ,Positive
nice crosscountry movie di only thing wey i no like about di movie be di way interaction no dey or no too dey with di nigerian or indian enviroment  beautiful romantic movie,Positive
amazing movie  i too love to dey watch dis movie with e excellent plot screenplay directing and dakore and di cast do very well for dia acting dem represent our culture and heritage well dem deserve oscar if dem dey for indigenous category dem get 1010 for me ,Positive
nah fantastic movie wow wow wow nollywood don dey come up,Positive
brilliant good tori line wey require plenty attention but overall dem do di movie well,Positive
great movie wey nollywood do dem no just write lionheart for writing sake e potray plenty things wey dey go on for nigeria dat nah only person wey dey reason well and get open mind fit see through di movie ,Positive
dis nah di best production wey nollywood don do e look like african american film di acting dey top notch and to find out say dis nah di film wey di lead actress go do thumbs up,Positive
something wey be like shakespearean comedy e full dey really amusing sharply drawn characters and dem ofer wicked insight into how identity fit shape by city living and immigrant culture clash  ,Positive
nigerians wey dey brooklyn  dis nah amazing film suspenseful thoughtful and dey colourful,Positive
temi otedola do amazing job,Positive
thank you for di perfect example of hoe he dey work for our lives dis movie nah gutwrencher reminding us how e take work through imperfect repentant people wey dem call nah to obey him he do di rest he dey faithful to complete wetin he don start nah movie wey dey honour god e dey show triune in goodness and glory and power thank you ,Positive
tori line dey beautiful  di way dem take twist di plot nah everything e get suspence gripping and interesting e touch a lot on di importance of communication for relationships i go watch am over and over again  ,Positive
i love dis film i done watch am plenty times i hope say dey don dey do another one ,Positive
nah morden nigerian classic nollywood get politicalreligious tribal gem for here for dos wey wan broaden dem perception of di why of di major ills of di world  in dis case a small community for nigeria dey pervasive today soul dey come to dis physical reality for experiences  dis film deliver plenty of dem  ,Positive
e dey fun to watch especially if you fit understand di igbo language but in general e dey good and nah interesting movie e be,Positive
dis movie dey feel like a mish mash of underdevelop ideas with half hearted romance wey dem throw inside e no sure if we want am to be comedy or satire,Positive
genevieve nnaji don prove again reason wey she still be di best nollywood actress of all time with her directing debut all we fit say nah more grease,Positive
 a film wey capture a nation hope for better cinema one only fit wish say other nigerian filmmakers dem go build on dis same ground for bright nigeria film future,Positive
absolutely sensational  dis make me feel proud to nigerian tori libe for one side di performance from each characters dem dey phenomenal and e really capture my attention,Positive
searching for a soundtrack  review  soundtrack dey at di end of di movie on di background e no get any word nah more like melody e be i dey try find e name beside dat great movie di pace really slow di acting dey realistic absurb emotions or anything like dat no too dey di conversations di choosen words di evens di chemistry e look natural like say person dey watch real situation silent moment plenty and stuf like dat so you eitherlike dis kin movie or you no like am,Positive
my number one nigeria sci fi best movie  i love di movie e fall into my di type wey like so much wich i dey satisfy off i dey look forward for nigeria to bring more to screen  and my advice for we nigerian be say make support dis movie to encourage dem make dey fit produce plenty better movie of our choice to watch ,Positive
kemi adetiba king of boys dey different from di way dem select dem cast to di wey dem do di tori line well dis movie be nothing short of excellent di thrill plot twist humour di way person no fit predict di movie dey unmatched ,Positive
perfection make person help find di mistake wey dey inside dis movie bcos i don watch am like four times and still no fit find one everything wey dey about dis movie dey perfect di movie nah original,Positive
dis film nah true life tori and e brilliant and moving,Positive
nah refreshing nigerian series e be nah refreshing nigerian serie wey person fit watch without awful music wey go dey all through di movie but i no like as netflix just carry season 1 e vex me and season 2 no dey ,Positive
if to say nah food i for say e dey mouth watering  di film citation nah necessity i no see where e no go dey relevant dem pick dia actors well and dem display professionalism di location dey amazing me no know say such good university dem dey senegal di aet and craft of our african leaders wey carf out african identity  di message wey dis movie carry how dem tell am dey so special insightful and artistic di suspense nah for another level kin mixture of feeling wey e create to us di viewwers nah something else  citation nah a must to watch go watch am for netflix ,Positive
excellent film  dis nah great film a tori line wey dey very simple and e provide glimpse into di past to two boys  with many wey we no know  den di twists and turns wey surround dia reunion as men wey don grow well done e dey different from anything wey i don scene,Positive
love am  beautiful movie  i love my nigerians di tori line beautiful too well done,Positive
beautiful beautiful sad and necessary ,Positive
my village people delive fantastic special effect and dem no dey over di top one of di special effect wey i like most nah di rain di technical crew deserves special recognition for dia skill for dis movie ,Positive
historic thirlling educative and dey very great,Positive
dis nah my favourite nigerian film e get captivating debut feature ,Positive
i deeply appriciate say i see movie wey show emotional bond between two sisters wey dey connected in so many ways but disconnet by romance and political views di movie actors dey superb and dem cast each character well well for dia role ,Positive
e dey educational but visceral  harrowing film expertly crafted  nah great movie wey dem act well and direct expertly crafted even though e dey eductional to one level but nah fully immersive visceral experience exploring race and gabg culture for england e dey hard to believe some of these things even though we know say e dey base on true tori make am even tough pill to swallow maybe some of di scenes dey for theartical licence but still nah still from some where real e come  dia be so many point for di film where i bin wan ask why why you go do dat no be so  e no dey for di faint hearted and e kin of mess with your mind nah di kn movie wey go leave you with plenty questions e dey entertain but provokinh and interesting a work of art one of di most original movie i don see for ages a refreshing perspective e worth make person watche am   ,Positive
nah  nice movie e be wholesome movie wey dey about love faith family and temptation of di word di quality no too sharp but i enjoy am i fall in love with mawuli gavor and i go watch am again so i fit see am,Positive
beautiful movie wey show historic event for benin kingdom  dis movie dey very educational interesting to watch i still dey shock say nah 2014 dey do am di directing dey superb  kudos to di cast and crew,Positive
great concept    di storyline dey creative with actors wey get talents e dey too much with some of di flashback but e still dey very inetresting throughout,Positive
so cooldis wan bam  dis film sweet die from start i no see any mistake maybe di beginning wan dey one kain sha but na taste di movie no heavy but e make sense i recommend am wit my full chest,Positive
kob is number 1 nollywood movie to me right now the story is way different and genuine unveils what goes on in politics for real,Positive
dis wan ogbonge film i go recommend am give anyone,Positive
i love dis film i go gbadun to dey watch am for many years wey dey come and di talk wey di tin sparkdi actin dey natural melodrama no dey and perso fit believe am patapata di film dey do me to watch and e carry me waka join ,Positive
i love dis film ,Positive
film wey make sense wit small peck,Positive
tori wey fine wey show naija culture di tori stand out gidigba and you no fit talk wetin wan apun next no be like most of other naija film na must watch o,Positive
na must watch di tori sweet and dem act am wella beta collabo with hollywood wit  nollywood actor dem i gbadun am tru tru,Positive
pov wey freshno be di kain of film house wey we sabi for western areas but di production highlights no be only to develop tori but di color dem wit culture of the side wey di tin apun,Positive
citation work best wen e move wit some kain strong doubt wey dem use strong force push for di main actor as she dey run her matter and e no to clear whether di system go favor am until di finishin wey create fear,Positive
for film wey be like say e suppose be one kain small serieswe follow relationship wey later enter family small small for like 20 yrs for naija,Positive
lastlast beta one dis  wan na ogbonge entry from ayo makun wey join correct comedi wit some kain love for heart na must watch for every naija people,Positive
dis best naija film wey i don see dis film surprise person e dey very creative and u no fit talk wetin wan sup next i like how di line of di tori dey town and e dey inline wit wetin dey sup for naija as e dey so dem act am well sola sobowale na legend,Positive
na correct work e create fear and e show love ,Positive
confam series i dey impress with the series no be small e catch pesin    and e sweet,Positive
i like dis filmdis film na very correct film e be like say make e no finish again abeg na wen di season three and four go come out,Positive
na di koko for if pesin na first born for ajebo family for afrika di film na di koko of di struggle of women for society wey be say na men deytop evriwhere dey control africa environment,Positive
correct toridi film get plenti moral lessons  confam role interpret from zainab balogun lf you don miss road before dis film na wetin u need to find road to god ,Positive
one film wey dey vex if e wan dey borin small,Positive
for di technical matter di sound dey very good di way dem run di camera and techniques no dey common and e sweet dem fight part dey smooth,Positive
di best naija film wey we don see for a whiledi surprisin wey show naija culture wit im film company trutru,Positive
 story wey dey disturb but wey be say e dey enter body i pity enitan i just no fit talk wetin im eye see di time wey im dey small as e take change for the endin e show who enitan be watin e sho shock me e com make the dey touch pesin    mind big ,Positive
beta film  preference way make sense and good story line,Positive
romper stomper wit some kain twist na masterpiece drama    beta skinhead cultural film wey i don see in for many years if you like film like romper stomper dis  is england a clockwork orange you fit like dis and if you like film wey dem do well sef di film wey actor dem first produce and from experience wey dey personal sef beta work join manlike ame sad say people dey ridicule dis kain koret work for art form from view wey dey personal from pesin wey dey new to film making enjoy my pipo ,Positive
e dey good for women wella men sef  for world wey women been dey dey  force to look beta pass as dem be and do pass dem sef dis  show serve as beta tool for financial education wey go guide dem enta beta tinkin organization of dem finances and di benefit of gratificationwey dem delay oh and e dey entertain sef beta actin    i no sabi wetin do the music production sha be like say dem bin dey repeat di same song for all di episode,Positive
way to use proverb dem innuendo wit play on word give many memorable one liner wit quote wey go dey our tongue for long time we go quote di line and remember di kain joy wey we feel wen we dey watch dis series,Positive
gud for first  one straight forward plot wey dey fair wey deliver notin wey new safe as per say na im be di first naija film wey dem base on christmas di casting sef sweet ,Positive
a very gud film  wey get gud lesson    dis film na coming of age comedydrama about one young boy wey wan fix tins wit him hand instead of to sit for cubicle back if we look am well i think dis wan na just to celebrate how dem dey do tins for africa wit how small small pikin dey learn how to dey humble ,Positive
citation dey do well as e dey give us logical representation of wetin bin dey apun for real world to large percent of youth especially student dem wit di main di main dem for di female gender,Positive
crazy lovely cool di naija actress wey i like pass adesua etomiwellington carry me enta dis tv series and i no dey dissapoint na beta surprise to see gud acting tru tru  na beta writting untop say i see her all the main character dem add substance and dem no dey over the top over hype character dem na all the episode fit stand on their own wit plot twist and reveal if anybodi dey find beta binge watch you no fit mistake wit dis naija  gem,Positive
na pity bikos dis wan suppose sweet well well but as e be na just total amateur,Positive
di tin too cap nah beta from dem hollywood film people no be waste time ,Positive
i no believe am i dey proud of dis nollywood production,Positive
film wey make sensetori wey fine dem tell am wella and dem show am wella everything make sense start from di location enta di makeup di actor dem di dressin even  di language  di way dem take show di culture choke well done kunle afolayan ,Positive
super recommend gold statue na maginificent excellence e promise one mountain of fun and with that mountain river of quality wit actin wey dey perfect com follow dis film worth any amount wey you go spend and more sef,Positive
abeg forget nah di best naija film wey i don see be dat,Positive
he good but he dey one kind cheap i like di way dem take dey kill secretly from naija di plot too thick and dey readable but di tin still far to com get me make i like am ,Positive
sweet di film sweet die from di beginning till di end dey way them take act am ehn dey world class ,Positive
dat nah wetin it mean to be from naija well done genevieve nnaji di film wey be say everyone dey like look kudos naija make una dey improve,Positive
 only one walaha,Positive
lionheart na strong film wey point sex matter for work for naija e too dey straightforward we fit sabi wetin go happen next sef di film na weak directin from genevieve nnaji but for di other side of matter di way im dey take act choke and im dey top for both character with everything di film nah dey clichd and charmin e go be beta nominee wey dey perfect for di academy as dem never carry mumu comot bikos of am,Positive
mind blowin dis na one of the best film wey i don look i like am,Positive
one film experience wey dey wonderful tori line wey get legdi suspense go make you shake and di comedy go make u laf e worth am tru tru,Positive
di sequel beta but to remake for beta to take get beta tori i must talk say i give am to di director and di way wey im act ramsey nouah,Positive
100 on point e dey accurate and well play everibodi dey fantastic make one pesin proud you be naija pikin ,Positive
e dey fin to see sam dede for our screen and to see na im still be oga for im craft as im dey give us stellar performance where stella damascus dey you fit dey sure to see some kain genuine tears wit scene wey dey emotional and  she no gree old again,Positive
perfection   dis wan na koret film wey everybodi sopose looki no even fit talk how e sweet reach my mouth no go fit talk am finish,Positive
fine how dem actor open reach to take talk on dia relationships and wit some kain vex wen dem reach wey go fit make you dey emotional,Positive
e dey really gud to sabi say dat hymn amazing grace  na write dem write am ,Positive
di film enter my bodi wella as to talk of  gods amazing grace na must to see,Positive
no be say di plot fail to catch di viewers attention but di acting dey very poor e no convince pesin at all,Negative
dis movie lond and e dull too even di background music sef no dey interesting and notin dey wey we fit use to save di movie,Negative
e get fine way wey i go use spoil your day,Negative
e no dey settle at all,Negative
di subject in swallow go make anyone cry  poverty sexual harrassment drug dealing systematic corruption  but di movie and all di characters dey flat and dey no get feelings ,Negative
though di central performance dey impressively raw farmings ery no dey compromise hoplessness wey drown out di interesting tori wey dey make am very hard than e suppose be,Negative
di story no dey consistence and di spiritual nonsense dey very bad to be saved,Negative
na everybodi dey insult us as we comot from there even pipu wey dey work for di cinema dey wey no pay sef dey hiss e dey horrible,Negative
equally powerful and uncomfortable farming na sharp reminder of di dangerous length wey selfhate fit lead to,Negative
a terrible way to start di year akpe na mess,Negative
you fit no hate yourself say you dey watch  superstar but you go dey feel dead  lifeless,Negative
e go dey unfair to all di cast and crew if i leave dis one out e no dey unfair at all,Negative
like other project wey dem no guide well dem make knock out blessing to make di producers proud rather than pleasing di nigerians wey dey watch am,Negative
akinnuoyeagbajes little dull screenplay no dey catch di kain pesin wey eni be,Negative
fifty minutes to dey advertise holiday resort for lagos movie closes money down di drain e no dey recommended,Negative
na real shame the island na waste of amazing talent,Negative
if i tell you  say dis na spectacular movie i dey lie ni,Negative
put lateness for one side di real problem with funke be say e too boring and e no dey exciting,Negative
e no dey recommended e too dry and e no dey fresh at all,Negative
ultimately na bad offering wey dem no suppose bring come cinema,Negative
production dey fine hin dey above average too colour sef sharp and acting sef no bad di problem be say di complete lack of intellectual strength in tori  di tori telling a quick example go dey okay,Negative
di amount of crime wey dis 6 year old don commit over di course of dis film don too plenti to count,Negative
e dey suitable for 14 years old  dem perfom am like a very clean disney story e dey limp and e dey blank,Negative
free energy dey with some funny touches and moments but e dey too big with acting and directing styles wey dey little like afternoon tv,Negative
average  di plot dey too short and e dey predictable,Negative
but unfortunately these shining moments dey to few and far between for dem to justify to dey serious money to see dis,Negative
moreover di drama wey dey between joseph to hin wife is played naturally but i feel say dis na more documentary then a movie,Negative
consequently rythms of long and short hisses just dey go one after di other from di audiences,Negative
no one deserve to watch dis kain foolish movie,Negative
e too boring di tori no plenti di soundtrack dey funny,Negative
add very bad adr and di acting na average and e bad join abd you get bad dream,Negative
e no go fully wrong at all once but damned if di fim makers no use di thread and fall and stagger and pad dis tin until their nollywood film na bollywood length without di good sense warmness or content to justify am,Negative
e dey very ugly and na low quality e dey very boring and e dey downright stupid,Negative
a wrong first feature film but e shows a great deal of promise,Negative
concerning dis popular movie kob i no fit say if e beta or e worst pass di remaining nollywood,Negative
made in heaven na stupid movie e dey very stupid e go irritate you so tey you dey laff out of total frustration you go taya to dey watch am you go kon dey see am like say you dey enjoy di foolishness wey dem dey do for di foolish movie very funny movie na complete rubbish,Negative
di movie slow di acting great and e contain small chills but di ending no dey forgivable,Negative
 in di absence of dat kain perfect storm no chook your wallet for heart with dis dagger   e no dey recommended at all,Negative
when i talk am say di ginger for comedy don dey turn our content to shit na di first example be dis,Negative
if you watched chief daddy going for broke wey dem go release on new year day for netflix  and fast fast i don tink am say hin go be a contender for di worst movie of di year know say no be your fault,Negative
lazy and depressing,Negative
e too boring di tori no plenti di soundtrack dey funny,Negative
the movie no too great a bit of overreachingof di actors maybe overdirected but di context great,Negative
